Species,ThermalAffinity,BodySize,DepthRange,PLD,Diet,Aggregation,Position,ParentalMode,JPN_sp,AUS_sp,RMI_sp
Chromis nitida,subtropical,7,20,27,Planktivore,schools,UpperBenthic,Nesters,0,1,0
Chromis notata,subtropical,17,13,NA,Planktivore,schools,UpperBenthic,Nesters,1,0,0
Chromis opercularis,tropical,17,36,31.2,Planktivore,schools,UpperBenthic,Nesters,0,1,0
Chromis ovatiformis,subtropical,10,30,NA,Planktivore,solitary,Benthic,Nesters,1,0,0
Chromis sp.,tropical,10,38,NA,Planktivore,NA,Benthic,Nesters,1,0,0
Chromis ternatensis,tropical,10,34,28.5,Planktivore,schools,Benthic,Nesters,1,1,1
Chromis vanderbilti,tropical,4.5,18,33.55,Planktivore,groups,UpperBenthic,Nesters,1,1,1
Chromis viridis,tropical,8,11,23.97,Planktivore,schools,UpperBenthic,Nesters,1,1,1
Chromis weberi,tropical,13.5,37,31.2,Planktivore,schools,UpperBenthic,Nesters,1,1,0
Chromis xanthochira,tropical,14,38,28.2,Planktivore,groups,UpperBenthic,Nesters,1,1,0
Chromis xanthura,tropical,17,37,28.2,Planktivore,groups,UpperBenthic,Nesters,1,1,1
Chrysiptera biocellata,tropical,12.5,5,18.4,Herbivore,solitary,Benthic,Nesters,0,0,1
Chrysiptera brownriggii,tropical,8,12,22.13,Omnivore,groups,Benthic,Nesters,0,0,1
Chrysiptera flavipinnis,tropical,8,35,19,Planktivore,groups,UpperBenthic,Nesters,0,1,0
Chrysiptera glauca,tropical,11,3,17.5,Herbivore,groups,Benthic,Nesters,0,0,1
Chrysiptera notialis,subtropical,9,38,45,Planktivore,solitary,UpperBenthic,Nesters,0,1,0
Chrysiptera rex,tropical,7,19,19.78,Planktivore,solitary,Benthic,Nesters,1,1,0
Chrysiptera rollandi,tropical,7.5,33,19.76,Planktivore,solitary,Benthic,Nesters,0,1,0
Chrysiptera springeri,tropical,5.5,26,17,Omnivore,solitary,Benthic,Nesters,0,1,0
Chrysiptera starcki,tropical,7,40,NA,Omnivore,solitary,Benthic,Nesters,1,0,0
Chrysiptera traceyi,tropical,6,35,23,Omnivore,solitary,Benthic,Nesters,0,0,1
Chrysiptera unimaculata,tropical,11,3,21.5,Herbivore,solitary,Benthic,Nesters,0,1,1
Cirrhilabrus balteatus,tropical,10,15,27.3,Planktivore,groups,UpperBenthic,scatterers,0,0,1
Cirrhilabrus cyanopleura,tropical,15,28,NA,Planktivore,groups,UpperBenthic,scatterers,1,0,0
Cirrhilabrus exquisitus,tropical,12,5,27.3,Planktivore,groups,UpperBenthic,scatterers,0,0,1
Cirrhilabrus johnsoni,tropical,9,10,27,Planktivore,solitary,UpperBenthic,scatterers,0,0,1
Cirrhilabrus katherinae,tropical,7.1,30,27.3,Planktivore,groups,UpperBenthic,scatterers,0,1,1
Cirrhilabrus katoi,temperate,7.5,20,NA,Planktivore,groups,UpperBenthic,scatterers,1,0,0
Cirrhilabrus luteovittatus,tropical,12,23,25.55,Planktivore,groups,UpperBenthic,scatterers,0,0,1
Cirrhilabrus punctatus,tropical,13,33,21.1,Planktivore,groups,UpperBenthic,scatterers,1,1,0
Cirrhilabrus rubrimarginatus,tropical,12.2,27,NA,Planktivore,solitary,UpperBenthic,scatterers,1,0,0
Cirrhilabrus sp.,tropical,8.5,35,27.3,Planktivore,groups,UpperBenthic,scatterers,1,0,1
Cirrhilabrus temminckii,tropical,9.9,25,28,Planktivore,groups,UpperBenthic,scatterers,1,0,0
Cirrhitichthys aprinus,tropical,12.5,35,51,Predator,solitary,Benthic,scatterers,1,1,1
Cirrhitichthys falco,tropical,7,42,49.7,Predator,solitary,Benthic,scatterers,0,1,0
Cirrhitichthys oxycephalus,tropical,10,39,51,Predator,solitary,Benthic,scatterers,1,1,1
Coradion altivelis,tropical,18,27,23.5,Omnivore,pairs,Benthic,scatterers,0,1,0
Coradion chrysozonus,tropical,15,57,23.5,Omnivore,pairs,Benthic,scatterers,0,1,0
Coris aurilineata,temperate,14,7,29,Predator,solitary,UpperBenthic,scatterers,0,1,0
Coris aygula,tropical,120,28,51.5,Predator,solitary,UpperBenthic,scatterers,1,1,1
Coris batuensis,tropical,17,28,27.55,Predator,solitary,SandAssociated,scatterers,1,1,1
Coris dorsomacula,tropical,38,38,46.2,Predator,solitary,UpperBenthic,scatterers,1,1,0
Coris gaimard,tropical,40,49,45.7,Predator,solitary,UpperBenthic,scatterers,1,1,1
Coris picta,subtropical,25,22,46.2,Predator,groups,UpperBenthic,scatterers,0,1,0
Coris sandeyeri,temperate,25,60,29,Predator,solitary,UpperBenthic,scatterers,0,1,0
Ctenochaetus binotatus,tropical,22,45,58.5,Detritivore,solitary,Benthic,scatterers,1,1,1
Ctenochaetus cyanocheilus,tropical,16,45,43.87,Herbivore,solitary,Benthic,scatterers,1,1,1
Ctenochaetus hawaiiensis,tropical,25,60,43.87,Herbivore,pairs,Benthic,scatterers,0,0,1
Ctenochaetus marginatus,tropical,25,16,31,Herbivore,groups,Benthic,scatterers,0,0,1
Ctenochaetus sp.,tropical,25,60,58.5,Detritivore,solitary,Benthic,scatterers,0,1,0
Ctenochaetus striatus,tropical,26,34,43.87,Detritivore,solitary,Benthic,scatterers,1,1,1
Cymolutes praetextatus,tropical,20,8,71,Predator,solitary,AlgaeAssociated,NA,0,0,1
Cymolutes torquatus,tropical,20,18,71,Predator,solitary,AlgaeAssociated,NA,0,1,0
Cynoglossus puncticeps,tropical,35,139,NA,Predator,solitary,SandAssociated,scatterers,1,0,0
Cyprinocirrhites polyactis,tropical,16,122,49.7,Planktivore,solitary,UpperBenthic,scatterers,0,1,0
Dascyllus aruanus,tropical,10,20,21.2,Omnivore,groups,CoralAssociated,Nesters,0,0,1
Dascyllus auripinnis,tropical,11.5,30,24.5,Planktivore,groups,Anemone,Nesters,0,0,1
